epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.344,1.23503,2.2373,1.26072,0.54681,0.34244,0.37875,0.19645,2.36916,2.46177,3.09312,0.000553789,0.000553789,0.000553789
2,287.38,1.34695,1.1926,1.32651,0.37915,0.40509,0.31844,0.14851,2.26873,2.81781,2.48385,0.00099962,0.00099962,0.00099962
3,425.49,1.30557,1.08164,1.31589,0.69774,0.38456,0.467,0.22859,2.23984,2.38697,2.42188,0.00133543,0.00133543,0.00133543
4,561.372,1.20768,0.93654,1.24057,0.68105,0.52455,0.59038,0.32285,1.86196,1.80153,1.96277,0.0011719,0.0011719,0.0011719
5,699.103,1.13348,0.8112,1.18973,0.75515,0.60182,0.7045,0.39931,1.6373,1.70235,1.73834,0.00100687,0.00100687,0.00100687
6,836.616,1.06753,0.71877,1.15062,0.80574,0.56096,0.65588,0.40205,1.75783,1.88129,2.01839,0.000841835,0.000841835,0.000841835
7,972.889,1.00237,0.64116,1.1065,0.82688,0.68871,0.7591,0.46392,1.51679,1.57364,1.70898,0.000676802,0.000676802,0.000676802
8,1111.87,0.95594,0.57601,1.07398,0.80587,0.71159,0.72649,0.48227,1.46203,1.78977,1.65219,0.000511769,0.000511769,0.000511769
9,1248.8,0.90293,0.52508,1.04232,0.83392,0.73751,0.81,0.53471,1.35549,1.37719,1.58409,0.000346736,0.000346736,0.000346736
10,1386.42,0.83945,0.48008,1.01454,0.84854,0.7083,0.77363,0.52048,1.37699,1.68612,1.60027,0.000181703,0.000181703,0.000181703
