epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.125,0.98002,1.6899,1.25396,0.86584,0.88466,0.91505,0.70543,0.83111,0.71712,1.10702,0.00332757,0.00332757,0.00332757
2,624.536,1.02673,1.04262,1.24939,0.86774,0.81434,0.88448,0.63678,1.09159,0.8796,1.26688,0.00661694,0.00661694,0.00661694
3,928.986,1.23986,1.30867,1.37995,0.72199,0.65279,0.75461,0.50091,1.27675,1.34782,1.40982,0.00986231,0.00986231,0.00986231
4,1232.21,1.33871,1.40982,1.43434,0.84079,0.78756,0.84435,0.55414,1.17023,1.27353,1.31193,0.009802,0.009802,0.009802
5,1536.08,1.26098,1.27987,1.3756,0.83352,0.82728,0.8899,0.64905,1.02051,0.94435,1.21934,0.009736,0.009736,0.009736
6,1839.47,1.18473,1.18545,1.33597,0.91107,0.84091,0.91615,0.67036,0.98079,0.78665,1.21254,0.00967,0.00967,0.00967
7,2144.51,1.15776,1.13267,1.32379,0.8801,0.84256,0.92086,0.69455,0.93905,0.76563,1.16227,0.009604,0.009604,0.009604
8,2448.23,1.09961,1.09297,1.28946,0.89166,0.8668,0.92946,0.71218,0.89466,0.70639,1.13178,0.009538,0.009538,0.009538
9,2752.26,1.06304,1.01984,1.27266,0.9293,0.8732,0.94232,0.74246,0.84157,0.65485,1.10777,0.009472,0.009472,0.009472
10,3055.52,1.04945,0.98675,1.26082,0.93093,0.88737,0.94676,0.74335,0.85361,0.65193,1.10422,0.009406,0.009406,0.009406
11,3360.37,1.0143,0.94386,1.2379,0.95914,0.89294,0.95251,0.76384,0.8208,0.59231,1.08297,0.00934,0.00934,0.00934
12,3664.82,0.99672,0.94389,1.23054,0.9489,0.87639,0.95181,0.75366,0.80013,0.57994,1.07494,0.009274,0.009274,0.009274
13,3968.16,0.99086,0.91329,1.22953,0.94253,0.90757,0.95205,0.76838,0.79273,0.57103,1.07611,0.009208,0.009208,0.009208
14,4271.91,0.96808,0.89119,1.21231,0.94865,0.89414,0.9528,0.75611,0.775,0.57127,1.06213,0.009142,0.009142,0.009142
15,4575.03,0.96163,0.87714,1.21164,0.93924,0.91825,0.95928,0.78543,0.77589,0.54852,1.05424,0.009076,0.009076,0.009076
16,4877.92,0.95116,0.87419,1.20332,0.94863,0.91936,0.95324,0.77059,0.75873,0.55519,1.04068,0.00901,0.00901,0.00901
17,5181.01,0.93207,0.84023,1.18778,0.92102,0.92976,0.96126,0.78548,0.77134,0.54284,1.05839,0.008944,0.008944,0.008944
18,5484.21,0.91652,0.83616,1.17986,0.94343,0.93417,0.96405,0.79461,0.75158,0.53041,1.02568,0.008878,0.008878,0.008878
19,5787.61,0.90084,0.81385,1.17197,0.94612,0.91698,0.96044,0.79931,0.71016,0.50561,1.02224,0.008812,0.008812,0.008812
20,6091.11,0.90927,0.81618,1.17843,0.9549,0.92212,0.96312,0.78566,0.74003,0.5087,1.03486,0.008746,0.008746,0.008746
21,6393.89,0.89015,0.80265,1.16864,0.95763,0.91351,0.96124,0.79511,0.72204,0.5117,1.01206,0.00868,0.00868,0.00868
22,6697.03,0.89103,0.78911,1.16197,0.95251,0.92493,0.96377,0.79702,0.72848,0.49329,1.02164,0.008614,0.008614,0.008614
