epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.283,1.00627,1.23139,1.25259,0.92189,0.85408,0.91729,0.73262,0.71343,1.58959,0.94493,0.0667258,3.32775e-06,3.32775e-06
2,320.714,0.86783,0.87318,1.15746,0.92025,0.90922,0.95815,0.8,0.62523,2.42383,0.90409,0.0333958,6.65449e-06,6.65449e-06
3,473.206,0.81525,0.79602,1.13516,0.94807,0.92146,0.9666,0.81924,0.58689,1.5496,0.87869,6.58094e-05,9.97463e-06,9.97463e-06
4,624.699,0.78152,0.72943,1.11214,0.97354,0.92099,0.96934,0.82739,0.58397,0.84179,0.86621,9.9703e-06,9.9703e-06,9.9703e-06
5,775.837,0.76266,0.70269,1.10523,0.9615,0.94066,0.97357,0.83214,0.57806,0.77716,0.86731,9.9604e-06,9.9604e-06,9.9604e-06
6,926.823,0.7384,0.68225,1.08451,0.9704,0.92975,0.97286,0.83737,0.56413,0.7044,0.8597,9.9505e-06,9.9505e-06,9.9505e-06
7,1078.13,0.74056,0.6636,1.08503,0.96582,0.94066,0.97391,0.84661,0.55054,0.51411,0.84844,9.9406e-06,9.9406e-06,9.9406e-06
8,1224.13,0.72679,0.65131,1.07985,0.97073,0.93301,0.97446,0.84003,0.56377,0.54431,0.85234,9.9307e-06,9.9307e-06,9.9307e-06
9,1374.87,0.71574,0.62618,1.07034,0.97139,0.93752,0.97306,0.84711,0.55649,0.61598,0.84424,9.9208e-06,9.9208e-06,9.9208e-06
10,1525.92,0.71635,0.63126,1.07083,0.9662,0.93582,0.9743,0.84596,0.54739,0.60362,0.84291,9.9109e-06,9.9109e-06,9.9109e-06
11,1676.92,0.70803,0.60916,1.06516,0.96479,0.94468,0.97383,0.84791,0.5462,0.51868,0.84693,9.901e-06,9.901e-06,9.901e-06
12,1827.6,0.69146,0.59802,1.05603,0.97218,0.94867,0.97597,0.85738,0.5432,0.47977,0.83406,9.8911e-06,9.8911e-06,9.8911e-06
13,1978.42,0.68967,0.58642,1.05138,0.96967,0.94822,0.97512,0.85523,0.54611,0.48964,0.83873,9.8812e-06,9.8812e-06,9.8812e-06
14,2129.41,0.68694,0.59117,1.05499,0.97023,0.95239,0.97648,0.85542,0.53057,0.44208,0.83419,9.8713e-06,9.8713e-06,9.8713e-06
15,2280.23,0.66921,0.58039,1.04818,0.96677,0.94774,0.97546,0.85328,0.55657,0.62765,0.83883,9.8614e-06,9.8614e-06,9.8614e-06
16,2431.32,0.68078,0.57964,1.05173,0.97734,0.9468,0.97577,0.86322,0.5249,0.45758,0.82886,9.8515e-06,9.8515e-06,9.8515e-06
17,2582.51,0.66819,0.5582,1.04718,0.97515,0.95047,0.97476,0.85875,0.52953,0.50622,0.82977,9.8416e-06,9.8416e-06,9.8416e-06
18,2733.05,0.66143,0.56246,1.04828,0.97208,0.9534,0.97567,0.8591,0.52844,0.44245,0.83185,9.8317e-06,9.8317e-06,9.8317e-06
19,2883.59,0.66291,0.5627,1.04177,0.97466,0.94596,0.97548,0.8621,0.52717,0.447,0.82512,9.8218e-06,9.8218e-06,9.8218e-06
20,3034.33,0.65393,0.55034,1.03579,0.97123,0.95924,0.97694,0.86382,0.53635,0.46776,0.82954,9.8119e-06,9.8119e-06,9.8119e-06
21,3185.07,0.66008,0.55773,1.0416,0.97487,0.95655,0.97552,0.8637,0.53054,0.48049,0.83084,9.802e-06,9.802e-06,9.802e-06
22,3335.75,0.64939,0.54277,1.03317,0.98054,0.94935,0.97529,0.86614,0.51809,0.51209,0.82422,9.7921e-06,9.7921e-06,9.7921e-06
23,3487.02,0.63445,0.52385,1.02703,0.97516,0.95467,0.97486,0.86456,0.52598,0.41106,0.81995,9.7822e-06,9.7822e-06,9.7822e-06
24,3637.91,0.63482,0.52883,1.02935,0.98148,0.94476,0.97495,0.86461,0.51777,0.41922,0.82104,9.7723e-06,9.7723e-06,9.7723e-06
25,3788.58,0.63463,0.52366,1.03081,0.97542,0.95209,0.97449,0.87019,0.52225,0.44512,0.82452,9.7624e-06,9.7624e-06,9.7624e-06
26,3939.57,0.63808,0.5204,1.02889,0.97027,0.96068,0.97352,0.86861,0.52341,0.46936,0.82729,9.7525e-06,9.7525e-06,9.7525e-06
27,4089.87,0.6276,0.52341,1.02384,0.96831,0.95833,0.97363,0.87036,0.51861,0.4372,0.8194,9.7426e-06,9.7426e-06,9.7426e-06
28,4240.45,0.62037,0.50411,1.01108,0.97344,0.95821,0.97446,0.86789,0.52032,0.44471,0.8223,9.7327e-06,9.7327e-06,9.7327e-06
29,4391.53,0.61747,0.50676,1.01877,0.97754,0.95555,0.97513,0.8705,0.51079,0.38679,0.82074,9.7228e-06,9.7228e-06,9.7228e-06
30,4542.46,0.61364,0.50175,1.01202,0.97905,0.95496,0.97548,0.87006,0.50767,0.43657,0.81537,9.7129e-06,9.7129e-06,9.7129e-06
31,4693.22,0.61416,0.5005,1.01647,0.97645,0.95436,0.97491,0.86842,0.50714,0.4542,0.82068,9.703e-06,9.703e-06,9.703e-06
32,4843.95,0.61409,0.50024,1.01534,0.97601,0.95196,0.97583,0.86965,0.5149,0.41168,0.82211,9.6931e-06,9.6931e-06,9.6931e-06
33,4994.67,0.61976,0.50824,1.01863,0.97386,0.95677,0.97541,0.87218,0.51085,0.39764,0.81688,9.6832e-06,9.6832e-06,9.6832e-06
34,5146.12,0.60084,0.50031,1.00841,0.97627,0.95865,0.97631,0.8708,0.51398,0.37607,0.81613,9.6733e-06,9.6733e-06,9.6733e-06
35,5297.37,0.60713,0.49316,1.00997,0.97834,0.94566,0.97502,0.87116,0.51415,0.39206,0.81667,9.6634e-06,9.6634e-06,9.6634e-06
36,5448.66,0.6034,0.48639,1.01208,0.96491,0.96634,0.97379,0.8734,0.51279,0.39074,0.81925,9.6535e-06,9.6535e-06,9.6535e-06
37,5599.44,0.6048,0.49441,1.01193,0.97602,0.9553,0.97466,0.87708,0.50769,0.37496,0.81525,9.6436e-06,9.6436e-06,9.6436e-06
38,5750.15,0.59915,0.48346,1.00654,0.98163,0.94768,0.9754,0.87899,0.50636,0.43136,0.81997,9.6337e-06,9.6337e-06,9.6337e-06
39,5901.21,0.58984,0.47938,0.99924,0.97296,0.95583,0.97446,0.87587,0.50244,0.4145,0.81441,9.6238e-06,9.6238e-06,9.6238e-06
40,6051.64,0.59781,0.47736,1.00267,0.97744,0.95625,0.97582,0.88063,0.50517,0.40235,0.81776,9.6139e-06,9.6139e-06,9.6139e-06
41,6202.25,0.58593,0.46631,1.00122,0.97035,0.95712,0.97599,0.88206,0.50299,0.4273,0.81476,9.604e-06,9.604e-06,9.604e-06
42,6353.12,0.58787,0.46616,0.99686,0.97535,0.9516,0.97555,0.87974,0.51015,0.38208,0.8209,9.5941e-06,9.5941e-06,9.5941e-06
43,6500.08,0.58632,0.46682,0.99587,0.96849,0.96248,0.97578,0.87744,0.50778,0.4013,0.81889,9.5842e-06,9.5842e-06,9.5842e-06
44,6650.63,0.58597,0.47177,0.99917,0.96807,0.9642,0.97618,0.87907,0.50759,0.3733,0.81751,9.5743e-06,9.5743e-06,9.5743e-06
45,6801.26,0.57817,0.46266,0.99031,0.9764,0.9521,0.97572,0.875,0.50856,0.39049,0.81755,9.5644e-06,9.5644e-06,9.5644e-06
46,6952.52,0.58234,0.46345,0.99961,0.97396,0.95677,0.97614,0.8783,0.50123,0.44308,0.81586,9.5545e-06,9.5545e-06,9.5545e-06
47,7102.96,0.57347,0.45577,0.99438,0.96696,0.96762,0.97547,0.87728,0.51043,0.44307,0.81953,9.5446e-06,9.5446e-06,9.5446e-06
48,7253.7,0.57404,0.46123,0.99187,0.96727,0.96281,0.97533,0.88046,0.49864,0.38846,0.81365,9.5347e-06,9.5347e-06,9.5347e-06
49,7404.51,0.57158,0.46252,0.98828,0.97951,0.94877,0.97468,0.88132,0.49981,0.3925,0.81452,9.5248e-06,9.5248e-06,9.5248e-06
50,7555.36,0.57473,0.45947,0.99537,0.97381,0.94906,0.97401,0.87737,0.50322,0.36933,0.81529,9.5149e-06,9.5149e-06,9.5149e-06
51,7705.96,0.57555,0.45521,0.99453,0.96733,0.95669,0.97339,0.87624,0.50634,0.37836,0.81621,9.505e-06,9.505e-06,9.505e-06
52,7856.61,0.57378,0.45995,0.99453,0.97341,0.95605,0.97429,0.88225,0.50505,0.37891,0.81377,9.4951e-06,9.4951e-06,9.4951e-06
53,8007.12,0.56683,0.45154,0.99053,0.96716,0.95596,0.9742,0.88246,0.49563,0.39389,0.8132,9.4852e-06,9.4852e-06,9.4852e-06
54,8158.06,0.56691,0.44939,0.98759,0.97071,0.96043,0.97509,0.88178,0.49608,0.40932,0.81429,9.4753e-06,9.4753e-06,9.4753e-06
55,8308.53,0.56858,0.4417,0.98707,0.97446,0.96131,0.97464,0.88241,0.4957,0.37895,0.81088,9.4654e-06,9.4654e-06,9.4654e-06
56,8459.08,0.56292,0.45057,0.9835,0.97348,0.95887,0.97555,0.88007,0.49914,0.35729,0.8107,9.4555e-06,9.4555e-06,9.4555e-06
57,8609.68,0.56076,0.44736,0.98257,0.96216,0.96511,0.97453,0.88254,0.49998,0.38402,0.81365,9.4456e-06,9.4456e-06,9.4456e-06
58,8760.62,0.55446,0.44279,0.97856,0.97338,0.95497,0.97509,0.88143,0.49824,0.37156,0.81354,9.4357e-06,9.4357e-06,9.4357e-06
59,8911.17,0.54888,0.43711,0.9794,0.9755,0.9556,0.97544,0.88064,0.49653,0.36985,0.81745,9.4258e-06,9.4258e-06,9.4258e-06
60,9061.77,0.55996,0.4513,0.98836,0.97215,0.95533,0.97469,0.88337,0.49798,0.34876,0.81474,9.4159e-06,9.4159e-06,9.4159e-06
61,9212.71,0.55201,0.43503,0.97662,0.97242,0.9577,0.97519,0.88229,0.49473,0.34558,0.81486,9.406e-06,9.406e-06,9.406e-06
62,9363.41,0.55529,0.43675,0.98035,0.97051,0.95838,0.97544,0.88631,0.49269,0.36198,0.81276,9.3961e-06,9.3961e-06,9.3961e-06
63,9513.94,0.55238,0.43819,0.98026,0.9746,0.96172,0.97522,0.88508,0.4879,0.37427,0.81008,9.3862e-06,9.3862e-06,9.3862e-06
64,9664.85,0.55619,0.43239,0.98386,0.9724,0.9603,0.97522,0.88484,0.4907,0.36741,0.81127,9.3763e-06,9.3763e-06,9.3763e-06
65,9816.02,0.55422,0.43925,0.98268,0.97098,0.96004,0.97533,0.88188,0.49122,0.3862,0.81251,9.3664e-06,9.3664e-06,9.3664e-06
66,9966.86,0.54498,0.42558,0.97789,0.97244,0.957,0.97563,0.88295,0.48893,0.36232,0.81072,9.3565e-06,9.3565e-06,9.3565e-06
67,10117.5,0.55206,0.42387,0.97626,0.97334,0.95637,0.97532,0.88336,0.4903,0.35624,0.80927,9.3466e-06,9.3466e-06,9.3466e-06
68,10268,0.54511,0.43804,0.97411,0.97337,0.96191,0.97481,0.88063,0.49382,0.37135,0.80897,9.3367e-06,9.3367e-06,9.3367e-06
69,10418.9,0.54179,0.42278,0.9734,0.97264,0.95936,0.97495,0.88286,0.49357,0.35432,0.80892,9.3268e-06,9.3268e-06,9.3268e-06
70,10569.6,0.54209,0.41881,0.97474,0.96661,0.96616,0.97552,0.88216,0.4923,0.34422,0.80844,9.3169e-06,9.3169e-06,9.3169e-06
71,10720.7,0.54287,0.42452,0.98014,0.96988,0.96656,0.97569,0.88294,0.49382,0.34937,0.80999,9.307e-06,9.307e-06,9.307e-06
72,10871.3,0.5431,0.42778,0.978,0.9679,0.96444,0.97534,0.88308,0.49487,0.34743,0.81104,9.2971e-06,9.2971e-06,9.2971e-06
